date,hemispherical,longitude,latitude,region,period,ndre,lci,severity_level
18/01/22,IMG_3758_1,104.509104,-2.953331,1-rric100,1,0.15391652,0.23245652,3
18/01/22,IMG_3745_1,104.508971,-2.953331,1-rric100,1,0.15738304,0.23741563,4
18/01/22,IMG_3732_1,104.50881,-2.953392,1-rric100,1,0.15168789,0.2279738,3
18/01/22,IMG_3720_1,104.508835,-2.953555,1-rric100,1,0.1504493,0.22623546,3
18/01/22,IMG_3710_1,104.509029,-2.953606,1-rric100,1,0.15318462,0.23263562,3
18/01/22,IMG_3694_1,104.509119,-2.953515,1-rric100,1,0.15468532,0.23419963,4
18/01/22,IMG_3685_1,104.50886,-2.95379,1-rric100,1,0.1611618,0.24502364,3
18/01/22,IMG_3668_1,104.508945,-2.953758,1-rric100,1,0.16162707,0.24438083,3
18/01/22,IMG_3651_1,104.509112,-2.953922,1-rric100,1,0.16053271,0.24297519,3
15/06/22,IMG_4208_A,104.541268,-2.924219,2-bpm24,2,0.17961991,0.26889673,2
15/06/22,IMG_4162_B,104.54118,-2.924888,2-bpm24,2,0.1902679,0.2871876,2
15/06/22,IMG_4172_B,104.541131,-2.925091,2-bpm24,2,0.19023138,0.28803477,2
15/06/22,IMG_4222_A,104.54157,-2.924307,2-bpm24,2,0.18308556,0.27703318,2
15/06/22,IMG_4182_B,104.541197,-2.925232,2-bpm24,2,0.19015637,0.28305554,2
15/06/22,IMG_4192_B,104.541365,-2.925257,2-bpm24,2,0.18383081,0.27163157,2
15/06/22,IMG_4231_A,104.541647,-2.924318,2-bpm24,2,0.18902586,0.2860515,2
15/06/22,IMG_4250_A,104.541718,-2.924372,2-bpm24,2,0.18721716,0.28347197,2
15/06/22,IMG_4210_B,104.541535,-2.925347,2-bpm24,2,0.19092353,0.2861506,2
15/06/22,IMG_4256_A,104.541638,-2.924647,2-bpm24,2,0.19552277,0.29436603,2
15/06/22,IMG_4271_A,104.541641,-2.924641,2-bpm24,2,0.19557877,0.29451957,2
15/06/22,IMG_4228_B,104.541578,-2.925118,2-bpm24,2,0.19271569,0.29021025,2
15/06/22,IMG_4285_A,104.541527,-2.92463,2-bpm24,2,0.19464839,0.29509294,2
15/06/22,IMG_4230_B,104.541396,-2.925074,2-bpm24,2,0.1874315,0.27910116,2
15/06/22,IMG_4294_A,104.541343,-2.924549,2-bpm24,2,0.17725639,0.27164084,2
