date,hemispherical,longitude,latitude,region,ndre_karet,lci_karet,ndre_gulma,lci_gulma,severity_level
18/01/22,IMG_3818_1,104.510059,-2.953622,1-rric100,0.17121406,0.26123264,0.20072241,0.3035078,2
18/01/22,IMG_3802_1,104.510113,-2.953418,1-rric100,0.16858599,0.25653532,0.19898763,0.30309346,3
18/01/22,IMG_3788_1,104.509915,-2.953475,1-rric100,0.16960755,0.25824657,0.20399958,0.30867672,1
18/01/22,IMG_3772_1,104.509824,-2.953389,1-rric100,0.16646956,0.25336966,0.19610633,0.29826188,3
18/01/22,IMG_3758_1,104.509104,-2.953331,1-rric100,0.15391652,0.23245652,0.1673293,0.2592092,3
18/01/22,IMG_3745_1,104.508971,-2.953331,1-rric100,0.15738304,0.23741563,0.16949101,0.26132783,4
18/01/22,IMG_3732_1,104.50881,-2.953392,1-rric100,0.15168789,0.2279738,0.16395664,0.25194955,3
18/01/22,IMG_3720_1,104.508835,-2.953555,1-rric100,0.1504493,0.22623546,0.16748305,0.25794438,3
18/01/22,IMG_3710_1,104.509029,-2.953606,1-rric100,0.15318462,0.23263562,0.16602731,0.25755545,3
18/01/22,IMG_3694_1,104.509119,-2.953515,1-rric100,0.15468532,0.23419963,0.17725734,0.2740556,4
18/01/22,IMG_3685_1,104.50886,-2.95379,1-rric100,0.1611618,0.24502364,0.1740421,0.2672516,3
18/01/22,IMG_3668_1,104.508945,-2.953758,1-rric100,0.16162707,0.24438083,0.16974285,0.2609407,3
18/01/22,IMG_3651_1,104.509112,-2.953922,1-rric100,0.16053271,0.24297519,0.18145512,0.2752901,3
15/06/22,IMG_4208_A,104.541268,-2.924219,2-bpm24,0.17961991,0.26889673,0.26522744,0.3870987,1
15/06/22,IMG_4162_B,104.54118,-2.924888,2-bpm24,0.1902679,0.2871876,0.25229225,0.3715308,1
15/06/22,IMG_4172_B,104.541131,-2.925091,2-bpm24,0.19023138,0.28803477,0.27461618,0.40299612,1
15/06/22,IMG_4222_A,104.54157,-2.924307,2-bpm24,0.18308556,0.27703318,0.26773897,0.3916612,1
15/06/22,IMG_4182_B,104.541197,-2.925232,2-bpm24,0.19015637,0.28305554,0.274958,0.39989468,1
15/06/22,IMG_4192_B,104.541365,-2.925257,2-bpm24,0.18383081,0.27163157,0.25751027,0.37669763,2
15/06/22,IMG_4231_A,104.541647,-2.924318,2-bpm24,0.18902586,0.2860515,0.26523715,0.38961485,1
15/06/22,IMG_4250_A,104.541718,-2.924372,2-bpm24,0.18721716,0.28347197,0.2551817,0.37407792,1
15/06/22,IMG_4210_B,104.541535,-2.925347,2-bpm24,0.19092353,0.2861506,0.26377696,0.3854474,1
15/06/22,IMG_4256_A,104.541638,-2.924647,2-bpm24,0.19552277,0.29436603,0.26949278,0.393931,1
15/06/22,IMG_4271_A,104.541641,-2.924641,2-bpm24,0.19557877,0.29451957,0.26969376,0.39445567,1
15/06/22,IMG_4228_B,104.541578,-2.925118,2-bpm24,0.19271569,0.29021025,0.2693951,0.38973546,1
15/06/22,IMG_4285_A,104.541527,-2.92463,2-bpm24,0.19464839,0.29509294,0.27318788,0.39773276,1
15/06/22,IMG_4230_B,104.541396,-2.925074,2-bpm24,0.1874315,0.27910116,0.25873026,0.37755272,1
